Year,Series,Education level,Type of skill,Age,Value
2014,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Telephoning over the Internet/VoIP,All Ages,1.1
2014,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Using basic arithmetic formula in a spreadsheet,All Ages,0.9
2014,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Copying or moving a file or folder,All Ages,0.9
2014,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Using copy and paste tools to duplicate or move information within a document,All Ages,0.9
2014,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Reading or downloading on-line newspapers, magazines, or electronic books",All Ages,0.9
2014,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Creating electronic presentations with presentation Finding, downloading, installing and configuring softwareware",All Ages,0.8
2014,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Getting information about goods or services online,All Ages,1.0
2014,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Purchasing or ordering goods or services using the Internet,All Ages,0.9
2014,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Connecting and installing new devices,All Ages,0.7
2014,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Using Internet banking,All Ages,0.9
2014,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Writing a computer program using a specialized programming language,All Ages,0.6
2014,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Participating in social networks,All Ages,1.1
2014,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Transferring files between a computer and other devices,All Ages,0.8
2014,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Uploading self/user-created content to a website to be shared,All Ages,1.0
2014,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Telephoning over the Internet/VoIP,All Ages,1.1
2015,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Using basic arithmetic formula in a spreadsheet,All Ages,0.8
2015,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Copying or moving a file or folder,All Ages,0.8
2015,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Using copy and paste tools to duplicate or move information within a document,All Ages,0.9
2015,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Reading or downloading on-line newspapers, magazines, or electronic books",All Ages,1.0
2015,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Creating electronic presentations with presentation Finding, downloading, installing and configuring softwareware",All Ages,0.9
2015,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Doing a formal online course,All Ages,0.4
2015,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Getting information about goods or services online,All Ages,1.0
2015,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Purchasing or ordering goods or services using the Internet,All Ages,0.9
2015,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Seeking health information (on injury, disease, nutrition, etc.)",All Ages,1.1
2015,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Using Internet banking,All Ages,1.0
2015,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Writing a computer program using a specialized programming language,All Ages,0.5
2015,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Participating in social networks,All Ages,1.1
2015,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Finding, downloading, installing and configuring software",All Ages,0.7
2015,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Transferring files between a computer and other devices,All Ages,0.8
2015,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Uploading self/user-created content to a website to be shared,All Ages,1.0
2015,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Telephoning over the Internet/VoIP,All Ages,1.0
2016,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Using basic arithmetic formula in a spreadsheet,All Ages,0.9
2016,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Copying or moving a file or folder,All Ages,0.9
2016,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Reading or downloading on-line newspapers, magazines, or electronic books",All Ages,1.0
2016,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Creating electronic presentations with presentation Finding, downloading, installing and configuring softwareware",All Ages,1.1
2016,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Doing a formal online course,All Ages,0.7
2016,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Getting information about goods or services online,All Ages,1.0
2016,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Purchasing or ordering goods or services using the Internet,All Ages,0.9
2016,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Seeking health information (on injury, disease, nutrition, etc.)",All Ages,1.4
2016,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Using Internet banking,All Ages,1.0
2016,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Writing a computer program using a specialized programming language,All Ages,0.6
2016,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Participating in social networks,All Ages,1.0
2016,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Finding, downloading, installing and configuring software",All Ages,0.9
2016,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Transferring files between a computer and other devices,All Ages,0.9
2016,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Uploading self/user-created content to a website to be shared,All Ages,1.1
2016,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Telephoning over the Internet/VoIP,All Ages,1.0
2017,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Using basic arithmetic formula in a spreadsheet,All Ages,0.9
2017,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Copying or moving a file or folder,All Ages,1.0
2017,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Reading or downloading on-line newspapers, magazines, or electronic books",All Ages,1.0
2017,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Creating electronic presentations with presentation Finding, downloading, installing and configuring softwareware",All Ages,1.1
2017,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Getting information about goods or services online,All Ages,1.0
2017,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Purchasing or ordering goods or services using the Internet,All Ages,1.0
2017,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Seeking health information (on injury, disease, nutrition, etc.)",All Ages,1.3
2017,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Using Internet banking,All Ages,1.0
2017,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Writing a computer program using a specialized programming language,All Ages,0.5
2017,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Participating in social networks,All Ages,1.1
2017,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Finding, downloading, installing and configuring software",All Ages,0.8
2017,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Transferring files between a computer and other devices,All Ages,0.9
2017,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Uploading self/user-created content to a website to be shared,All Ages,1.1
2017,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Telephoning over the Internet/VoIP,All Ages,1.2
2018,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Getting information about goods or services online,All Ages,1.0
2018,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Seeking health information (on injury, disease, nutrition, etc.)",All Ages,1.3
2018,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Using Internet banking,All Ages,1.0
2018,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Participating in social networks,All Ages,1.1
2018,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Telephoning over the Internet/VoIP,All Ages,1.1
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Using basic arithmetic formula in a spreadsheet,All Ages,0.9
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Using copy and paste tools to duplicate or move information within a document,All Ages,0.9
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Reading or downloading on-line newspapers, magazines, or electronic books",All Ages,1.0
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Creating electronic presentations with presentation Finding, downloading, installing and configuring softwareware",All Ages,1.0
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Doing a formal online course,All Ages,1.0
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Getting information about goods or services online,All Ages,1.0
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Purchasing or ordering goods or services using the Internet,All Ages,1.0
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Seeking health information (on injury, disease, nutrition, etc.)",All Ages,1.2
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Using Internet banking,All Ages,1.0
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Writing a computer program using a specialized programming language,All Ages,0.8
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Changing privacy settings on your device, account or app to limit the sharing of personal data and information (e.g. name, contact information, photos)",All Ages,0.7
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Participating in social networks,All Ages,1.1
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Finding, downloading, installing and configuring software",All Ages,0.9
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Transferring files between a computer and other devices,All Ages,0.8
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Uploading self/user-created content to a website to be shared,All Ages,1.1
2019,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Telephoning over the Internet/VoIP,All Ages,1.1
2020,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Using basic arithmetic formula in a spreadsheet,All Ages,0.9
2020,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Using copy and paste tools to duplicate or move information within a document,All Ages,0.9
2020,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Reading or downloading on-line newspapers, magazines, or electronic books",All Ages,1.0
2020,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Sending e-mails with attached files,All Ages,1.0
2020,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Creating electronic presentations with presentation Finding, downloading, installing and configuring softwareware",All Ages,1.1
2020,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Doing a formal online course,All Ages,1.2
2020,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Getting information about goods or services online,All Ages,1.0
2020,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Purchasing or ordering goods or services using the Internet,All Ages,1.0
2020,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Seeking health information (on injury, disease, nutrition, etc.)",All Ages,1.2
2020,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Using Internet banking,All Ages,1.0
2020,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Writing a computer program using a specialized programming language,All Ages,0.5
2020,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Setting up effective security measures (e.g. strong passwords, log-in attempt notification) to protect devices and online accounts",All Ages,1.0
2020,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Participating in social networks,All Ages,1.1
2020,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Finding, downloading, installing and configuring software",All Ages,1.0
2020,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Transferring files between a computer and other devices,All Ages,0.8
2020,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Uploading self/user-created content to a website to be shared,All Ages,1.0
2020,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Telephoning over the Internet/VoIP,All Ages,1.0
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Using basic arithmetic formula in a spreadsheet,All Ages,0.9
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Using copy and paste tools to duplicate or move information within a document,All Ages,0.9
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Reading or downloading on-line newspapers, magazines, or electronic books",All Ages,1.0
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Sending e-mails with attached files,All Ages,1.0
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Creating electronic presentations with presentation Finding, downloading, installing and configuring softwareware",All Ages,1.0
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Doing a formal online course,All Ages,1.3
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Getting information about goods or services online,All Ages,1.0
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Purchasing or ordering goods or services using the Internet,All Ages,1.2
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Seeking health information (on injury, disease, nutrition, etc.)",All Ages,1.1
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Using Internet banking,All Ages,1.0
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Writing a computer program using a specialized programming language,All Ages,0.7
2021,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Participating in social networks,All Ages,1.1
