Year,Series,Age,Units,Sex,Value
2013,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),All Sexes,12.7
2014,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),Male,13.7
2014,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),Female,9.5
2014,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),All Sexes,11.7
2015,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),Male,13.2
2015,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),Female,9.8
2015,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),All Sexes,11.6
2016,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),Male,10.2
2016,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),Female,11.4
2016,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),All Sexes,10.7
2017,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),Male,11.1
2017,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),Female,9.9
2017,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),All Sexes,10.6
2018,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),Male,11.7
2018,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),Female,6.7
2018,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),All Sexes,9.4
2019,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),Male,11.3
2019,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),Female,8.6
2019,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),All Sexes,10.1
2020,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),Male,14.1
2020,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),Female,8.3
2020,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),All Sexes,11.5
2021,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),Male,12.9
2021,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),Female,6.0
2021,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),All Sexes,9.9
2022,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),Male,11.6
2022,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),Female,6.0
2022,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),All Sexes,9.0
2023,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),Male,11.6
2023,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),All Sexes,9.2
2010,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),Male,5.5
2010,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),Female,5.8
2010,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),All Sexes,5.6
2011,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),Male,4.7
2011,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),Female,5.6
2011,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),All Sexes,5.0
2012,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),Male,4.4
2012,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),Female,5.5
2012,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),All Sexes,4.8
2013,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),Male,4.8
2013,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),Female,5.2
2013,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),All Sexes,4.9
2014,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),Male,5.1
2014,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),Female,4.2
2014,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),All Sexes,4.7
2015,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),Male,4.3
2015,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),Female,4.5
2015,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),All Sexes,4.4
2016,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),Male,3.6
2016,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),Female,4.1
2016,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),All Sexes,3.8
2017,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),Male,2.9
2017,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),Female,3.3
2017,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),All Sexes,3.1
2018,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),Male,3.2
2018,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),Female,3.2
2018,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),All Sexes,3.2
2019,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),Male,2.8
2019,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),Female,4.1
2019,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),All Sexes,3.3
2020,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),Male,3.6
2020,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),Female,4.7
2020,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),All Sexes,4.1
2021,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),Male,3.0
2021,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),Female,3.3
2021,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),All Sexes,3.1
2022,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),Male,2.9
2022,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),Female,2.8
2022,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),All Sexes,2.9
2023,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),Male,2.9
2023,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),Female,2.9
2023,"1. Unemployment rate, by sex, age and persons with disabilities",25-74,Percentage (%),All Sexes,2.9
2010,2. Employment rate by sex,,Percentage of total population,All Sexes,60.1
2010,2. Employment rate by sex,,Percentage of total population,Male,78.2
2010,2. Employment rate by sex,,Percentage of total population,Female,41.6
2011,2. Employment rate by sex,,Percentage of total population,All Sexes,61.6
2011,2. Employment rate by sex,,Percentage of total population,Male,79.0
2011,2. Employment rate by sex,,Percentage of total population,Female,43.8
2012,2. Employment rate by sex,,Percentage of total population,All Sexes,63.9
2012,2. Employment rate by sex,,Percentage of total population,Male,79.4
2012,2. Employment rate by sex,,Percentage of total population,Female,48.0
2013,2. Employment rate by sex,,Percentage of total population,All Sexes,66.2
2013,2. Employment rate by sex,,Percentage of total population,Male,80.3
2013,2. Employment rate by sex,,Percentage of total population,Female,51.7
2014,2. Employment rate by sex,,Percentage of total population,All Sexes,67.9
2014,2. Employment rate by sex,,Percentage of total population,Male,81.1
2014,2. Employment rate by sex,,Percentage of total population,Female,54.3
2015,2. Employment rate by sex,,Percentage of total population,All Sexes,69.0
2015,2. Employment rate by sex,,Percentage of total population,Male,82.1
2015,2. Employment rate by sex,,Percentage of total population,Female,55.3
2016,2. Employment rate by sex,,Percentage of total population,All Sexes,71.1
2016,2. Employment rate by sex,,Percentage of total population,Male,83.5
2016,2. Employment rate by sex,,Percentage of total population,Female,58.0
2017,2. Employment rate by sex,,Percentage of total population,All Sexes,73.0
2017,2. Employment rate by sex,,Percentage of total population,Male,84.7
2017,2. Employment rate by sex,,Percentage of total population,Female,60.6
2018,2. Employment rate by sex,,Percentage of total population,All Sexes,74.9
2018,2. Employment rate by sex,,Percentage of total population,Male,85.5
2018,2. Employment rate by sex,,Percentage of total population,Female,63.2
2019,2. Employment rate by sex,,Percentage of total population,All Sexes,75.6
2019,2. Employment rate by sex,,Percentage of total population,Male,85.9
2019,2. Employment rate by sex,,Percentage of total population,Female,63.9
2020,2. Employment rate by sex,,Percentage of total population,All Sexes,76.0
2020,2. Employment rate by sex,,Percentage of total population,Male,84.9
2020,2. Employment rate by sex,,Percentage of total population,Female,66.0
2021,2. Employment rate by sex,,Percentage of total population,All Sexes,77.8
2021,2. Employment rate by sex,,Percentage of total population,Male,86.0
2021,2. Employment rate by sex,,Percentage of total population,Female,68.4
2022,2. Employment rate by sex,,Percentage of total population,All Sexes,80.1
2022,2. Employment rate by sex,,Percentage of total population,Male,86.2
2022,2. Employment rate by sex,,Percentage of total population,Female,72.9
2023,2. Employment rate by sex,,Percentage of total population,All Sexes,81.3
2023,2. Employment rate by sex,,Percentage of total population,Male,87.7
2023,2. Employment rate by sex,,Percentage of total population,Female,73.6
