Year,Series,Sex,Age,Value
2013,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,25-54,9.5
2013,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,55-64,3.8
2013,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,15-24,52.6
2013,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,15-64,16.1
2013,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,25-54,8.7
2013,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,55-64,3.3
2014,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,15-24,54.8
2014,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,15-64,16.5
2014,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,25-54,9.1
2014,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,55-64,3.4
2014,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,15-24,54.7
2014,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,15-64,16.8
2014,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,25-54,9.5
2014,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,55-64,4.1
2014,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,15-24,54.8
2014,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,15-64,16.3
2014,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,25-54,8.8
2014,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,55-64,2.7
2015,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,15-24,53.6
2015,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,15-64,15.8
2015,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,25-54,8.7
2015,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,55-64,3.3
2015,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,15-24,54.5
2015,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,15-64,16.3
2015,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,25-54,9.3
2015,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,55-64,3.6
2015,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,15-24,52.7
2015,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,15-64,15.4
2015,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,25-54,8.1
2015,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,55-64,3.1
2016,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,15-24,55.7
2016,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,15-64,16.3
2016,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,25-54,9.2
2016,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,55-64,3.6
2016,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,15-24,58.4
2016,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,15-64,17.4
2016,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,25-54,10.1
2016,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,55-64,4.3
2016,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,15-24,53.2
2016,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,15-64,15.3
2016,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,25-54,8.3
2016,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,55-64,2.9
2017,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,15-24,57.6
2017,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,15-64,18.6
2017,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,25-54,12.4
2017,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,55-64,4.8
2017,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,15-24,59.9
2017,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,15-64,20.0
2017,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,25-54,14.1
2017,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,55-64,4.9
2017,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,15-24,55.4
2017,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,15-64,17.4
2017,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,25-54,10.9
2017,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,55-64,4.6
2018,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,15-24,58.0
2018,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,15-64,18.6
2018,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,25-54,12.8
2018,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,55-64,4.1
2018,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,15-24,58.5
2018,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,15-64,20.0
2018,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,25-54,14.7
2018,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,55-64,4.9
2018,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,15-24,57.5
2018,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,15-64,17.3
2018,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,25-54,11.1
2018,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,55-64,3.3
2019,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,15-24,57.3
2019,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,15-64,19.1
2019,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,25-54,13.7
2019,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,55-64,5.6
2019,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,15-24,58.7
2019,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,15-64,20.6
2019,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,25-54,15.2
2019,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,55-64,6.9
2019,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,15-24,56.0
2019,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,15-64,17.7
2019,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,25-54,12.3
2019,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,55-64,4.4
2020,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,15-24,59.7
2020,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,15-64,18.4
2020,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,25-54,12.4
2020,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,55-64,5.7
2020,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,15-24,62.8
2020,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,15-64,20.3
2020,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,25-54,14.4
2020,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,55-64,6.2
2020,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,15-24,57.0
2020,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,15-64,16.7
2020,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,25-54,10.7
2020,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,55-64,5.2
2021,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,15-24,59.8
2021,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,15-24,61.2
2021,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,15-24,58.3
2021,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,15-64,18.9
2021,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,15-64,20.1
2021,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,15-64,17.8
2021,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,25-54,14.0
2021,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,25-54,15.5
2021,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,25-54,12.8
2021,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,55-64,3.9
2021,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,55-64,3.3
2021,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,55-64,4.3
2022,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,15-24,57.0
2022,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,15-24,60.5
2022,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,15-24,53.6
2022,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,15-64,17.5
2022,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,15-64,18.7
2022,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,15-64,16.4
2022,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,25-54,12.9
2022,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,25-54,13.6
2022,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,25-54,12.2
2022,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,55-64,3.9
2022,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,55-64,3.8
2022,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,55-64,3.9
2014,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,25-34,12.1
2014,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,35-44,9.2
2014,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,45-54,5.6
2014,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,55-64,3.4
2014,Participation rate in education and training (last 4 weeks) by sex and age,Male,25-34,11.2
2014,Participation rate in education and training (last 4 weeks) by sex and age,Male,35-44,8.8
2014,Participation rate in education and training (last 4 weeks) by sex and age,Male,45-54,6.0
2014,Participation rate in education and training (last 4 weeks) by sex and age,Male,55-64,2.7
2014,Participation rate in education and training (last 4 weeks) by sex and age,Female,25-34,13.0
2014,Participation rate in education and training (last 4 weeks) by sex and age,Female,35-44,9.7
2014,Participation rate in education and training (last 4 weeks) by sex and age,Female,45-54,5.2
2014,Participation rate in education and training (last 4 weeks) by sex and age,Female,55-64,4.1
2015,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,25-34,11.6
2015,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,35-44,8.7
2015,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,45-54,5.0
2015,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,55-64,3.3
2015,Participation rate in education and training (last 4 weeks) by sex and age,Male,25-34,10.9
2015,Participation rate in education and training (last 4 weeks) by sex and age,Male,35-44,8.3
2015,Participation rate in education and training (last 4 weeks) by sex and age,Male,45-54,4.5
2015,Participation rate in education and training (last 4 weeks) by sex and age,Male,55-64,3.1
2015,Participation rate in education and training (last 4 weeks) by sex and age,Female,25-34,12.4
2015,Participation rate in education and training (last 4 weeks) by sex and age,Female,35-44,9.2
2015,Participation rate in education and training (last 4 weeks) by sex and age,Female,45-54,5.5
2015,Participation rate in education and training (last 4 weeks) by sex and age,Female,55-64,3.6
2016,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,25-34,11.6
2016,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,35-44,9.6
2016,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,45-54,5.4
2016,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,55-64,3.6
2016,Participation rate in education and training (last 4 weeks) by sex and age,Male,25-34,10.5
2016,Participation rate in education and training (last 4 weeks) by sex and age,Male,35-44,8.7
2016,Participation rate in education and training (last 4 weeks) by sex and age,Male,45-54,4.8
2016,Participation rate in education and training (last 4 weeks) by sex and age,Male,55-64,2.9
2016,Participation rate in education and training (last 4 weeks) by sex and age,Female,25-34,12.9
2016,Participation rate in education and training (last 4 weeks) by sex and age,Female,35-44,10.7
2016,Participation rate in education and training (last 4 weeks) by sex and age,Female,45-54,6.0
2016,Participation rate in education and training (last 4 weeks) by sex and age,Female,55-64,4.3
2017,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,25-34,16.0
2017,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,35-44,11.4
2017,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,45-54,8.7
2017,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,55-64,4.8
2017,Participation rate in education and training (last 4 weeks) by sex and age,Male,25-34,13.0
2017,Participation rate in education and training (last 4 weeks) by sex and age,Male,35-44,10.7
2017,Participation rate in education and training (last 4 weeks) by sex and age,Male,45-54,8.2
2017,Participation rate in education and training (last 4 weeks) by sex and age,Male,55-64,4.6
2017,Participation rate in education and training (last 4 weeks) by sex and age,Female,25-34,19.3
2017,Participation rate in education and training (last 4 weeks) by sex and age,Female,35-44,12.2
2017,Participation rate in education and training (last 4 weeks) by sex and age,Female,45-54,9.2
2017,Participation rate in education and training (last 4 weeks) by sex and age,Female,55-64,4.9
2018,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,25-34,17.0
2018,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,35-44,11.7
2018,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,45-54,8.5
2018,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,55-64,4.2
2018,Participation rate in education and training (last 4 weeks) by sex and age,Male,25-34,12.8
2018,Participation rate in education and training (last 4 weeks) by sex and age,Male,35-44,11.3
2018,Participation rate in education and training (last 4 weeks) by sex and age,Male,45-54,8.0
2018,Participation rate in education and training (last 4 weeks) by sex and age,Male,55-64,3.3
2018,Participation rate in education and training (last 4 weeks) by sex and age,Female,25-34,21.6
2018,Participation rate in education and training (last 4 weeks) by sex and age,Female,35-44,12.1
2018,Participation rate in education and training (last 4 weeks) by sex and age,Female,45-54,9.1
2018,Participation rate in education and training (last 4 weeks) by sex and age,Female,55-64,5.2
2019,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,25-34,17.8
2019,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,35-44,12.0
2019,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,45-54,9.3
2019,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,55-64,5.4
2019,Participation rate in education and training (last 4 weeks) by sex and age,Male,25-34,15.4
2019,Participation rate in education and training (last 4 weeks) by sex and age,Male,35-44,10.5
2019,Participation rate in education and training (last 4 weeks) by sex and age,Male,45-54,10.2
2019,Participation rate in education and training (last 4 weeks) by sex and age,Male,55-64,4.2
2019,Participation rate in education and training (last 4 weeks) by sex and age,Female,25-34,20.7
2019,Participation rate in education and training (last 4 weeks) by sex and age,Female,35-44,13.6
2019,Participation rate in education and training (last 4 weeks) by sex and age,Female,45-54,8.3
2019,Participation rate in education and training (last 4 weeks) by sex and age,Female,55-64,6.7
2020,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,25-34,16.1
2020,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,35-44,11.0
2020,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,45-54,8.1
2020,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,55-64,5.5
2020,Participation rate in education and training (last 4 weeks) by sex and age,Male,25-34,13.6
2020,Participation rate in education and training (last 4 weeks) by sex and age,Male,35-44,8.8
2020,Participation rate in education and training (last 4 weeks) by sex and age,Male,45-54,8.7
2020,Participation rate in education and training (last 4 weeks) by sex and age,Male,55-64,5.0
2020,Participation rate in education and training (last 4 weeks) by sex and age,Female,25-34,19.1
2020,Participation rate in education and training (last 4 weeks) by sex and age,Female,35-44,13.7
2020,Participation rate in education and training (last 4 weeks) by sex and age,Female,45-54,7.6
2020,Participation rate in education and training (last 4 weeks) by sex and age,Female,55-64,6.1
2021,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,25-34,18.5
2021,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,35-44,16.8
2021,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,45-54,11.9
2021,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,55-64,4.7
2021,Participation rate in education and training (last 4 weeks) by sex and age,Male,25-34,17.4
2021,Participation rate in education and training (last 4 weeks) by sex and age,Male,35-44,15.3
2021,Participation rate in education and training (last 4 weeks) by sex and age,Male,45-54,10.9
2021,Participation rate in education and training (last 4 weeks) by sex and age,Male,55-64,4.6
2021,Participation rate in education and training (last 4 weeks) by sex and age,Female,25-34,19.9
2021,Participation rate in education and training (last 4 weeks) by sex and age,Female,35-44,18.7
2021,Participation rate in education and training (last 4 weeks) by sex and age,Female,45-54,12.9
2021,Participation rate in education and training (last 4 weeks) by sex and age,Female,55-64,4.8
2022,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,25-34,17.8
2022,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,35-44,14.8
2022,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,45-54,11.1
2022,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,55-64,4.7
2022,Participation rate in education and training (last 4 weeks) by sex and age,Male,25-34,17.9
2022,Participation rate in education and training (last 4 weeks) by sex and age,Male,35-44,12.8
2022,Participation rate in education and training (last 4 weeks) by sex and age,Male,45-54,10.7
2022,Participation rate in education and training (last 4 weeks) by sex and age,Male,55-64,4.0
2022,Participation rate in education and training (last 4 weeks) by sex and age,Female,25-34,17.6
2022,Participation rate in education and training (last 4 weeks) by sex and age,Female,35-44,17.3
2022,Participation rate in education and training (last 4 weeks) by sex and age,Female,45-54,11.6
2022,Participation rate in education and training (last 4 weeks) by sex and age,Female,55-64,5.5
2023,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,25-34,21.9
2023,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,35-44,19.1
2023,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,45-54,12.7
2023,Participation rate in education and training (last 4 weeks) by sex and age,All Sexes,55-64,7.0
2023,Participation rate in education and training (last 4 weeks) by sex and age,Male,25-34,19.8
2023,Participation rate in education and training (last 4 weeks) by sex and age,Male,35-44,17.3
2023,Participation rate in education and training (last 4 weeks) by sex and age,Male,45-54,12.0
2023,Participation rate in education and training (last 4 weeks) by sex and age,Male,55-64,5.6
2023,Participation rate in education and training (last 4 weeks) by sex and age,Female,25-34,24.7
2023,Participation rate in education and training (last 4 weeks) by sex and age,Female,35-44,21.4
2023,Participation rate in education and training (last 4 weeks) by sex and age,Female,45-54,13.6
2023,Participation rate in education and training (last 4 weeks) by sex and age,Female,55-64,8.5
2010,Tertiary educational attainment by sex ,All Sexes,,24.3
2010,Tertiary educational attainment by sex ,Male,,20.7
2010,Tertiary educational attainment by sex ,Female,,28.1
2011,Tertiary educational attainment by sex ,All Sexes,,26.2
2011,Tertiary educational attainment by sex ,Male,,23.4
2011,Tertiary educational attainment by sex ,Female,,29.2
2012,Tertiary educational attainment by sex ,All Sexes,,28.3
2012,Tertiary educational attainment by sex ,Male,,24.7
2012,Tertiary educational attainment by sex ,Female,,32.1
2013,Tertiary educational attainment by sex ,All Sexes,,31.1
2013,Tertiary educational attainment by sex ,Male,,25.8
2013,Tertiary educational attainment by sex ,Female,,36.7
2014,Tertiary educational attainment by sex ,All Sexes,,31.3
2014,Tertiary educational attainment by sex ,Male,,26.8
2014,Tertiary educational attainment by sex ,Female,,36.1
2015,Tertiary educational attainment by sex ,All Sexes,,31.9
2015,Tertiary educational attainment by sex ,Male,,27.3
2015,Tertiary educational attainment by sex ,Female,,36.9
2016,Tertiary educational attainment by sex ,All Sexes,,34.3
2016,Tertiary educational attainment by sex ,Male,,30.7
2016,Tertiary educational attainment by sex ,Female,,38.3
2017,Tertiary educational attainment by sex ,All Sexes,,34.9
2017,Tertiary educational attainment by sex ,Male,,32.4
2017,Tertiary educational attainment by sex ,Female,,37.7
2018,Tertiary educational attainment by sex ,All Sexes,,40.2
2018,Tertiary educational attainment by sex ,Male,,36.0
2018,Tertiary educational attainment by sex ,Female,,44.8
2019,Tertiary educational attainment by sex ,All Sexes,,41.0
2019,Tertiary educational attainment by sex ,Male,,35.0
2019,Tertiary educational attainment by sex ,Female,,48.0
2020,Tertiary educational attainment by sex ,All Sexes,,40.2
2020,Tertiary educational attainment by sex ,Male,,36.2
2020,Tertiary educational attainment by sex ,Female,,44.8
2021,Tertiary educational attainment by sex ,All Sexes,,42.9
2021,Tertiary educational attainment by sex ,Male,,36.6
2021,Tertiary educational attainment by sex ,Female,,50.5
2022,Tertiary educational attainment by sex ,All Sexes,,42.5
2022,Tertiary educational attainment by sex ,Male,,38.2
2022,Tertiary educational attainment by sex ,Female,,48.0
2023,Tertiary educational attainment by sex ,All Sexes,,46.2
2023,Tertiary educational attainment by sex ,Male,,40.4
2023,Tertiary educational attainment by sex ,Female,,53.9
