Year,Series,Age,Units,Sex,Value
2016,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Female,5.2
2017,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Female,4.3
2018,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Female,3.7
2019,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Female,4.7
2020,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Female,5.1
2021,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Female,3.6
2022,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Female,3.1
2023,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Female,3.2
2024,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Female,3
2010,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Female,11.8
2011,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Female,12.9
2012,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Female,14.5
2013,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Female,10.4
2014,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Female,9.5
2015,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Female,9.8
2016,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Female,11.4
2017,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Female,9.9
2018,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Female,6.7
2019,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Female,8.6
2020,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Female,8.3
2021,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Female,6
2022,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Female,6
2024,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Female,8.4
2010,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Female,5.8
2011,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Female,5.6
2012,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Female,5.5
2013,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Female,5.2
2014,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Female,4.2
2015,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Female,4.5
2016,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Female,4.1
2017,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Female,3.3
2018,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Female,3.2
2019,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Female,4.1
2020,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Female,4.7
2021,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Female,3.3
2022,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Female,2.8
2023,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Female,2.9
2024,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Female,2.4
2010,2. Employment rate by sex,,Percentage of total population,Female,41.6
2011,2. Employment rate by sex,,Percentage of total population,Female,43.8
2012,2. Employment rate by sex,,Percentage of total population,Female,48
2013,2. Employment rate by sex,,Percentage of total population,Female,51.7
2014,2. Employment rate by sex,,Percentage of total population,Female,54.3
2015,2. Employment rate by sex,,Percentage of total population,Female,55.3
2016,2. Employment rate by sex,,Percentage of total population,Female,58
2017,2. Employment rate by sex,,Percentage of total population,Female,60.6
2018,2. Employment rate by sex,,Percentage of total population,Female,63.2
2019,2. Employment rate by sex,,Percentage of total population,Female,63.9
2020,2. Employment rate by sex,,Percentage of total population,Female,66
2021,2. Employment rate by sex,,Percentage of total population,Female,68.4
2022,2. Employment rate by sex,,Percentage of total population,Female,72.9
2023,2. Employment rate by sex,,Percentage of total population,Female,73.6
2010,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Male,6.7
2011,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Male,6
2012,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Male,5.6
2013,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Male,6.1
2014,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Male,6.1
2015,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Male,5.4
2016,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Male,4.4
2017,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Male,3.8
2018,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Male,4.1
2019,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Male,3.7
2020,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Male,4.7
2021,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Male,3.9
2022,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Male,3.7
2023,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Male,3.7
2024,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Male,3.2
2010,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Male,14.4
2011,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Male,13.7
2012,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Male,13.3
2013,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Male,14.7
2014,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Male,13.7
2015,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Male,13.2
2016,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Male,10.2
2017,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Male,11.1
2018,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Male,11.7
2019,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Male,11.3
2020,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Male,14.1
2021,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Male,12.9
2022,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Male,11.6
2023,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Male,11.6
2024,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Male,9.6
2010,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Male,5.5
2011,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Male,4.7
2012,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Male,4.4
2013,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Male,4.8
2014,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Male,5.1
2015,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Male,4.3
2016,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Male,3.6
2017,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Male,2.9
2018,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Male,3.2
2019,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Male,2.8
2020,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Male,3.6
2021,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Male,3
2022,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Male,2.9
2023,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Male,2.9
2024,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Male,2.6
2010,2. Employment rate by sex,,Percentage of total population,Male,78.2
2011,2. Employment rate by sex,,Percentage of total population,Male,79
2012,2. Employment rate by sex,,Percentage of total population,Male,79.4
2013,2. Employment rate by sex,,Percentage of total population,Male,80.3
2014,2. Employment rate by sex,,Percentage of total population,Male,81.1
2015,2. Employment rate by sex,,Percentage of total population,Male,82.1
2016,2. Employment rate by sex,,Percentage of total population,Male,83.5
2017,2. Employment rate by sex,,Percentage of total population,Male,84.7
2018,2. Employment rate by sex,,Percentage of total population,Male,85.5
2019,2. Employment rate by sex,,Percentage of total population,Male,85.9
2020,2. Employment rate by sex,,Percentage of total population,Male,84.9
2021,2. Employment rate by sex,,Percentage of total population,Male,86
2022,2. Employment rate by sex,,Percentage of total population,Male,86.2
2023,2. Employment rate by sex,,Percentage of total population,Male,87.7
