Year,Series,Activity,Value
2019,Water Use Efficiency (US dollars per cubic metre),Total,209.95
2020,Water Use Efficiency (US dollars per cubic metre),Total,205.7
2021,Water Use Efficiency (US dollars per cubic metre),Total,240.38
2022,Water Use Efficiency (US dollars per cubic metre),Total,252.13
2023,Water Use Efficiency (US dollars per cubic metre),Total,264.7
2010,Water Use Efficiency (Euros per cubic metre),Industries,2518.17
2011,Water Use Efficiency (Euros per cubic metre),Industries,2360.41
2012,Water Use Efficiency (Euros per cubic metre),Industries,2325.40
2013,Water Use Efficiency (Euros per cubic metre),Industries,2471.34
2014,Water Use Efficiency (Euros per cubic metre),Industries,2427.78
2015,Water Use Efficiency (Euros per cubic metre),Industries,2569.03
2016,Water Use Efficiency (Euros per cubic metre),Industries,2673.66
2017,Water Use Efficiency (Euros per cubic metre),Industries,2781.38
2018,Water Use Efficiency (Euros per cubic metre),Industries,3035.04
2019,Water Use Efficiency (Euros per cubic metre),Industries,3249.52
2020,Water Use Efficiency (Euros per cubic metre),Industries,3758.49
2021,Water Use Efficiency (Euros per cubic metre),Industries,4486.24
2022,Water Use Efficiency (Euros per cubic metre),Industries,3222.27
2023,Water Use Efficiency (Euros per cubic metre),Industries,2511.80
2024,Water Use Efficiency (Euros per cubic metre),Industries,3190.69
2010,Water Use Efficiency (Euros per cubic metre),Agriculture,1.52
2011,Water Use Efficiency (Euros per cubic metre),Agriculture,1.56
2012,Water Use Efficiency (Euros per cubic metre),Agriculture,1.47
2013,Water Use Efficiency (Euros per cubic metre),Agriculture,1.23
2014,Water Use Efficiency (Euros per cubic metre),Agriculture,1.42
2015,Water Use Efficiency (Euros per cubic metre),Agriculture,1.55
2016,Water Use Efficiency (Euros per cubic metre),Agriculture,1.41
2017,Water Use Efficiency (Euros per cubic metre),Agriculture,1.40
2018,Water Use Efficiency (Euros per cubic metre),Agriculture,1.34
2019,Water Use Efficiency (Euros per cubic metre),Agriculture,1.35
2020,Water Use Efficiency (Euros per cubic metre),Agriculture,1.15
2021,Water Use Efficiency (Euros per cubic metre),Agriculture,1.10
2022,Water Use Efficiency (Euros per cubic metre),Agriculture,1.06
2023,Water Use Efficiency (Euros per cubic metre),Agriculture,1.10
2024,Water Use Efficiency (Euros per cubic metre),Agriculture,0.99
2010,Water Use Efficiency (Euros per cubic metre),Services,185.62
2011,Water Use Efficiency (Euros per cubic metre),Services,180.78
2012,Water Use Efficiency (Euros per cubic metre),Services,184.76
2013,Water Use Efficiency (Euros per cubic metre),Services,201.58
2014,Water Use Efficiency (Euros per cubic metre),Services,224.89
2015,Water Use Efficiency (Euros per cubic metre),Services,241.10
2016,Water Use Efficiency (Euros per cubic metre),Services,244.87
2017,Water Use Efficiency (Euros per cubic metre),Services,273.21
2018,Water Use Efficiency (Euros per cubic metre),Services,289.98
2019,Water Use Efficiency (Euros per cubic metre),Services,293.30
2020,Water Use Efficiency (Euros per cubic metre),Services,297.14
2021,Water Use Efficiency (Euros per cubic metre),Services,341.09
2022,Water Use Efficiency (Euros per cubic metre),Services,342.26
2023,Water Use Efficiency (Euros per cubic metre),Services,362.70
2024,Water Use Efficiency (Euros per cubic metre),Services,356.73
2010,Water Use Efficiency (Euros per cubic metre),Total,120.04
2011,Water Use Efficiency (Euros per cubic metre),Total,120.92
2012,Water Use Efficiency (Euros per cubic metre),Total,128.04
2013,Water Use Efficiency (Euros per cubic metre),Total,127.22
2014,Water Use Efficiency (Euros per cubic metre),Total,141.89
2015,Water Use Efficiency (Euros per cubic metre),Total,159.09
2016,Water Use Efficiency (Euros per cubic metre),Total,163.43
2017,Water Use Efficiency (Euros per cubic metre),Total,182.64
2018,Water Use Efficiency (Euros per cubic metre),Total,198.61
2019,Water Use Efficiency (Euros per cubic metre),Total,210.83
2020,Water Use Efficiency (Euros per cubic metre),Total,206.93
2021,Water Use Efficiency (Euros per cubic metre),Total,239.95
2022,Water Use Efficiency (Euros per cubic metre),Total,247.93
2023,Water Use Efficiency (Euros per cubic metre),Total,265.31
2024,Water Use Efficiency (Euros per cubic metre),Total,255.53
