Year,Series,Sex,Units,Value
2019,"Number of victims of intentional homicide per 100,000 population",All Sexes,"Per 100,000 population ",0.99
2020,"Number of victims of intentional homicide per 100,000 population",All Sexes,"Per 100,000 population ",1.36
2021,"Number of victims of intentional homicide per 100,000 population",All Sexes,"Per 100,000 population ",0.39
2022,"Number of victims of intentional homicide per 100,000 population",All Sexes,"Per 100,000 population ",1.51
2023,"Number of victims of intentional homicide per 100,000 population",All Sexes,"Per 100,000 population ",0.54
2010,"Number of victims of intentional homicide per 100,000 population",Female,"Per 100,000 population ",0.48
2011,"Number of victims of intentional homicide per 100,000 population",Female,"Per 100,000 population ",1.43
2012,"Number of victims of intentional homicide per 100,000 population",Female,"Per 100,000 population ",1.42
2013,"Number of victims of intentional homicide per 100,000 population",Female,"Per 100,000 population ",0
2014,"Number of victims of intentional homicide per 100,000 population",Female,"Per 100,000 population ",0.46
2015,"Number of victims of intentional homicide per 100,000 population",Female,"Per 100,000 population ",0.91
2016,"Number of victims of intentional homicide per 100,000 population",Female,"Per 100,000 population ",0.89
2017,"Number of victims of intentional homicide per 100,000 population",Female,"Per 100,000 population ",0.43
2018,"Number of victims of intentional homicide per 100,000 population",Female,"Per 100,000 population ",1.69
2019,"Number of victims of intentional homicide per 100,000 population",Female,"Per 100,000 population ",1.23
2020,"Number of victims of intentional homicide per 100,000 population",Female,"Per 100,000 population ",0.4
2021,"Number of victims of intentional homicide per 100,000 population",Female,"Per 100,000 population ",0
2022,"Number of victims of intentional homicide per 100,000 population",Female,"Per 100,000 population ",1.18
2023,"Number of victims of intentional homicide per 100,000 population",Female,"Per 100,000 population ",0.77
2010,"Number of victims of intentional homicide per 100,000 population",Male,"Per 100,000 population ",1.45
2011,"Number of victims of intentional homicide per 100,000 population",Male,"Per 100,000 population ",0
2012,"Number of victims of intentional homicide per 100,000 population",Male,"Per 100,000 population ",4.31
2013,"Number of victims of intentional homicide per 100,000 population",Male,"Per 100,000 population ",3.3
2014,"Number of victims of intentional homicide per 100,000 population",Male,"Per 100,000 population ",2.3
2015,"Number of victims of intentional homicide per 100,000 population",Male,"Per 100,000 population ",0.9
2016,"Number of victims of intentional homicide per 100,000 population",Male,"Per 100,000 population ",1.31
2017,"Number of victims of intentional homicide per 100,000 population",Male,"Per 100,000 population ",3.39
2018,"Number of victims of intentional homicide per 100,000 population",Male,"Per 100,000 population ",1.63
2019,"Number of victims of intentional homicide per 100,000 population",Male,"Per 100,000 population ",0.77
2020,"Number of victims of intentional homicide per 100,000 population",Male,"Per 100,000 population ",2.25
2021,"Number of victims of intentional homicide per 100,000 population",Male,"Per 100,000 population ",0.74
2022,"Number of victims of intentional homicide per 100,000 population",Male,"Per 100,000 population ",1.8
2023,"Number of victims of intentional homicide per 100,000 population",Male,"Per 100,000 population ",0.34
