Year,Series,Sex,Migratory Status,Value
2017,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Non-Migrant,796
2018,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Non-Migrant,747
2018,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,All Migratory Statuses,668
2018,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Migrants,417
2019,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Migrants,531
2019,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,All Migratory Statuses,708
2019,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Non-Migrant,772
2020,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Non-Migrant,456
2020,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,All Migratory Statuses,393
2020,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Migrants,234
2021,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Non-Migrant,492
2021,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,All Migratory Statuses,444
2021,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Migrants,325
2022,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Migrants,0
2022,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,All Migratory Statuses,0
2022,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Non-Migrant,0
2022,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Migrants,202
2022,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,All Migratory Statuses,236
2022,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Females,Non-Migrant,247
2016,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Non-Migrant,1.87
2016,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,All Migratory Statuses,5.55
2016,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Migrants,26.11
2017,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,All Migratory Statuses,0.76
2017,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Non-Migrant,0.91
2017,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Migrants,0
2018,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Migrants,11.64
2018,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Non-Migrant,0.86
2018,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,All Migratory Statuses,2.82
2019,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,All Migratory Statuses,1.97
2019,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Non-Migrant,0.84
2019,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Migrants,5.9
2020,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Migrants,7.84
2020,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Non-Migrant,2.58
2020,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,All Migratory Statuses,3.88
2021,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,All Migratory Statuses,5.67
2021,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Non-Migrant,2.56
2021,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Migrants,14.5
2016,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Non-Migrant,2152
2016,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,All Migratory Statuses,2023
2016,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Migrants,1305
2017,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Non-Migrant,2045
2017,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,All Migratory Statuses,1920
2017,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Migrants,1313
2018,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,All Migratory Statuses,1837
2018,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Migrants,1710
2018,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Non-Migrant,1865
2019,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Migrants,1474
2019,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,All Migratory Statuses,1662
2019,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Non-Migrant,1715
2020,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,All Migratory Statuses,1235
2020,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Migrants,1168
2020,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Non-Migrant,1257
2021,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Non-Migrant,1203
2021,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Migrants,1020
2021,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,All Migratory Statuses,1155
2022,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,All Migratory Statuses,6.3
2022,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Non-Migrant,5.1
2022,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Migrants,9.4
2022,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Non-Migrant,780
2022,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,All Migratory Statuses,786
2022,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Males,Migrants,803
