Year,Series,Speed,Units,Value
2024,Number of fixed broadband subscriptions,Between 2 Mbps and 10 Mbps,Number of subscriptions,196
2010,Number of fixed broadband subscriptions,Total,Number of subscriptions,125889
2011,Number of fixed broadband subscriptions,Total,Number of subscriptions,128678
2012,Number of fixed broadband subscriptions,Total,Number of subscriptions,135758
2013,Number of fixed broadband subscriptions,Total,Number of subscriptions,143010
2014,Number of fixed broadband subscriptions,Total,Number of subscriptions,151557
2015,Number of fixed broadband subscriptions,Total,Number of subscriptions,163205
2016,Number of fixed broadband subscriptions,Total,Number of subscriptions,171263
2017,Number of fixed broadband subscriptions,Total,Number of subscriptions,181318
2018,Number of fixed broadband subscriptions,Total,Number of subscriptions,191833
2019,Number of fixed broadband subscriptions,Total,Number of subscriptions,202513
2020,Number of fixed broadband subscriptions,Total,Number of subscriptions,213032
2021,Number of fixed broadband subscriptions,Total,Number of subscriptions,221198
2022,Number of fixed broadband subscriptions,Total,Number of subscriptions,229473
2023,Number of fixed broadband subscriptions,Total,Number of subscriptions,236006
2024,Number of fixed broadband subscriptions,Total,Number of subscriptions,240162
