Year,Series,Source,Units,Value
2020,Total government revenue as a proportion of GDP,Capital transfers receivable,Percentage (%),1.6
2021,Total government revenue as a proportion of GDP,Capital transfers receivable,Percentage (%),1.2
2022,Total government revenue as a proportion of GDP,Capital transfers receivable,Percentage (%),1.1
2023,Total government revenue as a proportion of GDP,Capital transfers receivable,Percentage (%),1.2
2024,Total government revenue as a proportion of GDP,Capital transfers receivable,Percentage (%),1.1
2010,Total government revenue in local currency,,Euro (millions),2597
2011,Total government revenue in local currency,,Euro (millions),2708
2012,Total government revenue in local currency,,Euro (millions),2871
2013,Total government revenue in local currency,,Euro (millions),3081
2014,Total government revenue in local currency,,Euro (millions),3408
2015,Total government revenue in local currency,,Euro (millions),3783
2016,Total government revenue in local currency,,Euro (millions),3971
2017,Total government revenue in local currency,,Euro (millions),4527
2018,Total government revenue in local currency,,Euro (millions),4970
2019,Total government revenue in local currency,,Euro (millions),5195
2020,Total government revenue in local currency,,Euro (millions),4792
2021,Total government revenue in local currency,,Euro (millions),5421
2022,Total government revenue in local currency,,Euro (millions),5944
2023,Total government revenue in local currency,,Euro (millions),6567
2024,Total government revenue in local currency,,Euro (millions),7833
