Year,Series,Sex,Age,Body Mass,Units,Value
2014,"2. Percentage of children aged 11,13 and 15 years who are obese or overwieght",Female,15-year-olds,,Perccentage,26
2018,"2. Percentage of children aged 11,13 and 15 years who are obese or overwieght",Male,11-year-olds,,Perccentage,44
2018,"2. Percentage of children aged 11,13 and 15 years who are obese or overwieght",Male,13-year-olds,,Perccentage,38
2018,"2. Percentage of children aged 11,13 and 15 years who are obese or overwieght",Male,15-year-olds,,Perccentage,41
2018,"2. Percentage of children aged 11,13 and 15 years who are obese or overwieght",Female,11-year-olds,,Perccentage,34
2018,"2. Percentage of children aged 11,13 and 15 years who are obese or overwieght",Female,13-year-olds,,Perccentage,35
2018,"2. Percentage of children aged 11,13 and 15 years who are obese or overwieght",Female,15-year-olds,,Perccentage,30
2022,"2. Percentage of children aged 11,13 and 15 years who are obese or overwieght",Male,11-year-olds,,Perccentage,41
2022,"2. Percentage of children aged 11,13 and 15 years who are obese or overwieght",Male,13-year-olds,,Perccentage,36
2022,"2. Percentage of children aged 11,13 and 15 years who are obese or overwieght",Male,15-year-olds,,Perccentage,31
2022,"2. Percentage of children aged 11,13 and 15 years who are obese or overwieght",Female,11-year-olds,,Perccentage,34
2022,"2. Percentage of children aged 11,13 and 15 years who are obese or overwieght",Female,13-year-olds,,Perccentage,29
2022,"2. Percentage of children aged 11,13 and 15 years who are obese or overwieght",Female,15-year-olds,,Perccentage,32
