Year,Series,Type of waste treatment,Units,Value
2018,"9. Total waste generation, by activity","Electricity, gas, steam and air conditioning supply",Tonnes,320
2018,"9. Total waste generation, by activity",Construction,Tonnes,"1,974,801"
2018,"9. Total waste generation, by activity",Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Tonnes,"185,302"
2020,"9. Total waste generation, by activity",Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Tonnes,"197,539"
2020,"9. Total waste generation, by activity",Construction,Tonnes,"3,010,732"
2020,"9. Total waste generation, by activity","Electricity, gas, steam and air conditioning supply",Tonnes,22
2020,"9. Total waste generation, by activity",Manufacturing,Tonnes,"30,185"
2020,"9. Total waste generation, by activity",Mining and quarrying,Tonnes,"37,944"
2020,"9. Total waste generation, by activity","Agriculture, forestry and fishing",Tonnes,"11,851"
2020,"9. Total waste generation, by activity",Total,Tonnes,"3,528,663"
2010,10. Proportion of hazardous waste treated or disposed,,Percentage,1.76
2012,10. Proportion of hazardous waste treated or disposed,,Percentage,1.32
2014,10. Proportion of hazardous waste treated or disposed,,Percentage,1.2
2016,10. Proportion of hazardous waste treated or disposed,,Percentage,0.36
2018,10. Proportion of hazardous waste treated or disposed,,Percentage,1.56
2020,10. Proportion of hazardous waste treated or disposed,,Percentage,1.55
2010,11. Municipal waste generated,,Tonnes,"258,000"
2011,11. Municipal waste generated,,Tonnes,"259,000"
2012,11. Municipal waste generated,,Tonnes,"257,000"
2013,11. Municipal waste generated,,Tonnes,"257,000"
2014,11. Municipal waste generated,,Tonnes,"273,000"
2015,11. Municipal waste generated,,Tonnes,"285,000"
2016,11. Municipal waste generated,,Tonnes,"292,000"
2017,11. Municipal waste generated,,Tonnes,"312,000"
2018,11. Municipal waste generated,,Tonnes,"326,000"
2019,11. Municipal waste generated,,Tonnes,"351,000"
2020,11. Municipal waste generated,,Tonnes,"331,000"
2021,11. Municipal waste generated,,Tonnes,"317,000"
2022,11. Municipal waste generated,,Tonnes,"328,000"
2010,"12. Proportion of municipal waste treated, by type of treatment",Incineration,Percentage,0.02
2010,"12. Proportion of municipal waste treated, by type of treatment",Incineration to generate energy,Percentage,0.02
2011,"12. Proportion of municipal waste treated, by type of treatment",Incineration to generate energy,Percentage,1.03
2011,"12. Proportion of municipal waste treated, by type of treatment",Incineration,Percentage,0.05
2012,"12. Proportion of municipal waste treated, by type of treatment",Incineration,Percentage,0.01
2012,"12. Proportion of municipal waste treated, by type of treatment",Incineration to generate energy,Percentage,0.41
2013,"12. Proportion of municipal waste treated, by type of treatment",Incineration,Percentage,0.02
2013,"12. Proportion of municipal waste treated, by type of treatment",Incineration to generate energy,Percentage,0.25
2014,"12. Proportion of municipal waste treated, by type of treatment",Incineration to generate energy,Percentage,0.33
2014,"12. Proportion of municipal waste treated, by type of treatment",Incineration,Percentage,0.02
2015,"12. Proportion of municipal waste treated, by type of treatment",Incineration,Percentage,0.01
2015,"12. Proportion of municipal waste treated, by type of treatment",Incineration to generate energy,Percentage,0.29
2016,"12. Proportion of municipal waste treated, by type of treatment",Incineration to generate energy,Percentage,0.29
2016,"12. Proportion of municipal waste treated, by type of treatment",Incineration,Percentage,0.01
2017,"12. Proportion of municipal waste treated, by type of treatment",Incineration,Percentage,0.01
2017,"12. Proportion of municipal waste treated, by type of treatment",Incineration to generate energy,Percentage,0.01
2018,"12. Proportion of municipal waste treated, by type of treatment",Incineration to generate energy,Percentage,0
2018,"12. Proportion of municipal waste treated, by type of treatment",Incineration,Percentage,0
2019,"12. Proportion of municipal waste treated, by type of treatment",Incineration,Percentage,0
2019,"12. Proportion of municipal waste treated, by type of treatment",Incineration to generate energy,Percentage,0
2020,"12. Proportion of municipal waste treated, by type of treatment",Incineration to generate energy,Percentage,0.02
2020,"12. Proportion of municipal waste treated, by type of treatment",Incineration,Percentage,0.02
2021,"12. Proportion of municipal waste treated, by type of treatment",Incineration,Percentage,0.01
2021,"12. Proportion of municipal waste treated, by type of treatment",Incineration to generate energy,Percentage,4.04
2010,"13. Hazardous waste generated, per unit of GDP",,kilograms per constant 2015 United States dollars,0.003
2012,"13. Hazardous waste generated, per unit of GDP",,kilograms per constant 2015 United States dollars,0.004
2014,"13. Hazardous waste generated, per unit of GDP",,kilograms per constant 2015 United States dollars,0.004
2016,"13. Hazardous waste generated, per unit of GDP",,kilograms per constant 2015 United States dollars,0.012
2018,"13. Hazardous waste generated, per unit of GDP",,kilograms per constant 2015 United States dollars,0.002
2020,"13. Hazardous waste generated, per unit of GDP",,kilograms per constant 2015 United States dollars,0.003
2016,14. WEEE Collection Rate based on POM,,Percentage,16
2017,14. WEEE Collection Rate based on POM,,Percentage,22
2018,14. WEEE Collection Rate based on POM,,Percentage,27
2019,14. WEEE Collection Rate based on POM,,Percentage,40
2020,14. WEEE Collection Rate based on POM,,Percentage,32
2021,14. WEEE Collection Rate based on POM,,Percentage,26
2022,14. WEEE Collection Rate based on POM,,Percentage,27
