Year,Series ,Migratory Status,Sex,Value
2013,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Male,0.0
2013,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Bothsex,0.0
2013,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",EU Migrants,Female,0.0
2013,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Female,0.0
2013,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Bothsex,2.27
2013,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",EU Migrants,Bothsex,0.0
2013,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Bothsex,2.49
2013,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Female,0.0
2013,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Male,3.65
2013,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Female,0.0
2014,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",EU Migrants,Male,0.0
2014,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",EU Migrants,Female,0.0
2014,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Bothsex,2.2
2014,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Bothsex,29.15
2014,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Female,0.0
2014,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Male,49.55
2014,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Female,0.0
2014,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Male,1.97
2014,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Male,3.58
2014,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Female,0.0
2014,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Bothsex,1.23
2014,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",EU Migrants,Bothsex,0.0
2015,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Bothsex,2.69
2015,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Bothsex,3.07
2015,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",EU Migrants,Bothsex,0.0
2015,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Female,0.0
2015,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Male,4.39
2015,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Male,4.98
2015,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",EU Migrants,Female,0.0
2015,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Female,0.0
2015,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Male,0.0
2015,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",EU Migrants,Male,0.0
2015,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Female,0.0
2015,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Bothsex,0.0
2016,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Male,1.87
2016,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Male,5.55
2016,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Bothsex,1.12
2016,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Bothsex,16.47
2016,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Bothsex,3.36
2016,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Female,0.0
2016,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Female,0.0
2016,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Female,0.0
2016,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Male,26.11
2017,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Bothsex,0.45
2017,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Bothsex,0.0
2017,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Bothsex,0.55
2017,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Male,0.76
2017,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Male,0.91
2017,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Male,0.0
2017,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Female,0.0
2017,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Female,0.0
2017,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Female,0.0
2018,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Male,11.64
2018,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Male,0.86
2018,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Male,2.82
2018,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Bothsex,0.53
2018,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Bothsex,6.12
2018,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Bothsex,1.68
2018,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Female,0.0
2018,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Female,0.0
2018,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Female,0.0
2019,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Bothsex,1.18
2019,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Bothsex,0.52
2019,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Bothsex,3.27
2019,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Male,1.97
2019,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Male,0.84
2019,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Male,5.9
2019,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Female,0.0
2019,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Female,0.0
2019,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Female,0.0
2020,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Female,0.0
2020,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Male,7.84
2020,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Male,2.58
2020,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Male,3.88
2020,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Bothsex,4.38
2020,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Bothsex,2.08
2020,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Bothsex,2.68
2020,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Female,1.31
2020,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Female,0.94
2021,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Bothsex,1.53
2021,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Bothsex,8.17
2021,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Bothsex,3.34
2021,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Male,5.67
2021,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Male,2.56
2021,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Male,14.5
2021,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Female,0.0
2021,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Female,0.0
2021,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Female,0.0
2010,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Female,698.78
2010,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",EU Migrants,Bothsex,2890.17
2010,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Bothsex,1645.42
2010,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Female,680.02
2010,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Bothsex,1350.54
2010,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Male,2133.92
2010,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Male,2495.65
2010,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",EU Migrants,Male,4231.31
2010,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Male,2145.4
2010,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",EU Migrants,Female,1250.0
2010,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Female,117.44
2010,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Bothsex,1651.56
2011,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Bothsex,2011.7
2011,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Female,599.08
2011,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",EU Migrants,Bothsex,5271.83
2011,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Bothsex,1457.52
2011,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Female,602.6
2011,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Bothsex,1444.1
2011,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Female,333.33
2011,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Male,1912.27
2011,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Male,3337.7
2011,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Male,1884.26
2012,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Male,1243.68
2012,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",EU Migrants,Male,3134.8
2012,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Male,2172.91
2012,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Female,302.38
2012,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Female,695.99
2012,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",EU Migrants,Bothsex,4413.62
2012,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Female,687.56
2012,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Male,2248.11
2012,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Bothsex,948.14
2012,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Bothsex,1656.29
2012,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Bothsex,1708.49
2013,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Female,322.19
2013,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",EU Migrants,Female,2792.32
2013,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",EU Migrants,Male,3230.89
2013,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Male,1573.43
2013,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Male,2037.04
2013,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Male,1975.82
2013,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Bothsex,1540.77
2013,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Bothsex,1479.49
2013,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Bothsex,1094.33
2013,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",EU Migrants,Bothsex,2944.21
2013,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Female,695.08
2013,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Female,659.16
2014,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Male,2060.24
2014,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Bothsex,1449.11
2014,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Bothsex,1511.64
2014,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Male,1998.68
2014,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Male,2229.93
2014,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",EU Migrants,Male,4089.22
2014,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",EU Migrants,Female,1645.69
2014,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Female,390.21
2014,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Female,568.57
2014,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Female,602.23
2014,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",EU Migrants,Bothsex,2906.74
2014,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Bothsex,1472.3
2015,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Bothsex,917.0
2015,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Bothsex,1304.72
2015,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Female,511.4
2015,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Bothsex,1230.78
2015,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",EU Migrants,Female,1134.93
2015,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",EU Migrants,Bothsex,1493.6
2015,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Male,1785.52
2015,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Female,536.52
2015,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Female,357.23
2015,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",EU Migrants,Male,1709.73
2015,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Male,1241.13
2015,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Male,1685.11
2016,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Male,2152.0
2016,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Female,814.0
2016,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Female,705.0
2016,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Bothsex,1626.0
2016,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Bothsex,1083.0
2016,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Bothsex,1547.0
2016,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Female,831.0
2016,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Male,2023.0
2016,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Male,1305.0
2017,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Bothsex,1443.0
2017,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Bothsex,941.0
2017,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Bothsex,1547.0
2017,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Female,725.0
2017,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Female,388.0
2017,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Female,796.0
2017,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Male,2045.0
2017,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Male,1920.0
2017,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Male,1313.0
2018,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Female,747.0
2018,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Male,1837.0
2018,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Male,1710.0
2018,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Male,1865.0
2018,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Female,668.0
2018,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Female,417.0
2018,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Bothsex,1432.0
2018,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Bothsex,1098.0
2018,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Bothsex,1363.0
2019,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Male,1474.0
2019,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Male,1662.0
2019,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Bothsex,1278.0
2019,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Bothsex,1053.0
2019,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Female,531.0
2019,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Female,708.0
2019,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Bothsex,1349.0
2019,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Male,1715.0
2019,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Female,772.0
2020,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Male,1235.0
2020,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Male,1168.0
2020,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Female,456.0
2020,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Male,1257.0
2020,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Female,393.0
2020,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Female,234.0
2020,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Bothsex,939.0
2020,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Bothsex,891.0
2020,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Bothsex,756.0
2021,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Male,1203.0
2021,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Female,492.0
2021,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Male,1020.0
2021,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Male,1155.0
2021,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Bothsex,716.0
2021,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Bothsex,863.0
2021,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Female,444.0
2021,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Female,325.0
2021,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Bothsex,917.0
2022,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Bothsex,2.7
2022,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Bothsex,3.3
2022,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Bothsex,5.1
2022,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Female,0.0
2022,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Female,0.0
2022,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Female,0.0
2022,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Male,6.3
2022,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Male,5.1
2022,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Male,9.4
2022,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Female,202.0
2022,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Female,236.0
2022,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Bothsex,524.0
2022,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Male,780.0
2022,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Bothsex,528.0
2022,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Bothsex,525.0
2022,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Male,786.0
2022,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Female,247.0
2022,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Migrants,Male,803.0
